enhancer_name,enhancer_chrom,enhancer_start,enhancer_end,promoter_name,promoter_chrom,promoter_start,promoter_end,label,enhancer_distance_to_promoter,counts1,counts0
K562|chr1:10442277-10442344,chr1,10442277,10442344,K562|chr1:10455067-10455130,chr1,10455067,10455130,1,12790,,
K562|chr1:10442341-10442489,chr1,10442341,10442489,K562|chr1:10455186-10455214,chr1,10455186,10455214,1,12845,,
K562|chr1:10442364-10442471,chr1,10442364,10442471,K562|chr1:10454234-10454384,chr1,10454234,10454384,1,11870,,
K562|chr1:10442364-10442451,chr1,10442364,10442451,K562|chr1:10454235-10454384,chr1,10454235,10454384,1,11871,,
K562|chr1:10442978-10443049,chr1,10442978,10443049,K562|chr1:10454736-10454811,chr1,10454736,10454811,1,11758,,
K562|chr1:10443550-10443615,chr1,10443550,10443615,K562|chr1:10454120-10454265,chr1,10454120,10454265,1,10570,,
K562|chr1:14744162-14744260,chr1,14744162,14744260,K562|chr1:24124906-24124955,chr1,24124906,24124955,1,9380744,,
K562|chr1:14744227-14744377,chr1,14744227,14744377,K562|chr1:24124906-24124955,chr1,24124906,24124955,1,9380679,,
K562|chr1:14744227-14744373,chr1,14744227,14744373,K562|chr1:24124906-24124955,chr1,24124906,24124955,1,9380679,,
K562|chr1:15744636-15744786,chr1,15744636,15744786,K562|chr1:112302468-112302595,chr1,112302468,112302595,1,96557832,,
K562|chr1:15744657-15744795,chr1,15744657,15744795,K562|chr1:112302468-112302595,chr1,112302468,112302595,1,96557811,,
K562|chr1:15744673-15744819,chr1,15744673,15744819,K562|chr1:112302465-112302595,chr1,112302465,112302595,1,96557792,,
K562|chr1:15744681-15744795,chr1,15744681,15744795,K562|chr1:112302482-112302618,chr1,112302482,112302618,1,96557801,,
K562|chr1:15744702-15744795,chr1,15744702,15744795,K562|chr1:112302465-112302595,chr1,112302465,112302595,1,96557763,,
K562|chr1:15744704-15744795,chr1,15744704,15744795,K562|chr1:112302465-112302595,chr1,112302465,112302595,1,96557761,,
K562|chr1:15744748-15744795,chr1,15744748,15744795,K562|chr1:112302465-112302595,chr1,112302465,112302595,1,96557717,,
K562|chr1:15744750-15744833,chr1,15744750,15744833,K562|chr1:112302479-112302617,chr1,112302479,112302617,1,96557729,,
K562|chr1:15744760-15744818,chr1,15744760,15744818,K562|chr1:112302468-112302595,chr1,112302468,112302595,1,96557708,,
K562|chr1:15744760-15744795,chr1,15744760,15744795,K562|chr1:112302465-112302595,chr1,112302465,112302595,1,96557705,,
K562|chr1:15744762-15744824,chr1,15744762,15744824,K562|chr1:112302465-112302595,chr1,112302465,112302595,1,96557703,,
K562|chr1:15744762-15744795,chr1,15744762,15744795,K562|chr1:112302465-112302595,chr1,112302465,112302595,1,96557703,,
K562|chr1:15744782-15744819,chr1,15744782,15744819,K562|chr1:112302480-112302620,chr1,112302480,112302620,1,96557698,,
K562|chr1:16110222-16110283,chr1,16110222,16110283,K562|chr1:16303728-16303801,chr1,16303728,16303801,1,193506,,
K562|chr1:16139609-16139724,chr1,16139609,16139724,K562|chr1:16676294-16676369,chr1,16676294,16676369,1,536685,,
K562|chr1:16139649-16139724,chr1,16139649,16139724,K562|chr1:16676294-16676369,chr1,16676294,16676369,1,536645,,
K562|chr1:16140642-16140677,chr1,16140642,16140677,K562|chr1:205748735-205748884,chr1,205748735,205748884,1,189608093,,
K562|chr1:16140664-16140720,chr1,16140664,16140720,K562|chr1:205748736-205748845,chr1,205748736,205748845,1,189608072,,
K562|chr1:16151455-16151515,chr1,16151455,16151515,K562|chr1:16676943-16677050,chr1,16676943,16677050,1,525488,,
K562|chr1:16154562-16154656,chr1,16154562,16154656,K562|chr1:54303616-54303657,chr1,54303616,54303657,1,38149054,,
K562|chr1:16154562-16154655,chr1,16154562,16154655,K562|chr1:54303616-54303657,chr1,54303616,54303657,1,38149054,,
K562|chr1:16219017-16219080,chr1,16219017,16219080,K562|chr1:45206273-45206360,chr1,45206273,45206360,1,28987256,,
K562|chr1:16219017-16219079,chr1,16219017,16219079,K562|chr1:45206273-45206360,chr1,45206273,45206360,1,28987256,,
K562|chr1:16219017-16219077,chr1,16219017,16219077,K562|chr1:45206270-45206359,chr1,45206270,45206359,1,28987253,,
K562|chr1:16356743-16356782,chr1,16356743,16356782,K562|chr1:16378338-16378488,chr1,16378338,16378488,1,21595,,
K562|chr1:16358090-16358122,chr1,16358090,16358122,K562|chr1:16379158-16379244,chr1,16379158,16379244,1,21068,,
K562|chr1:16358359-16358509,chr1,16358359,16358509,K562|chr1:16380407-16380508,chr1,16380407,16380508,1,22048,,
K562|chr1:16358413-16358478,chr1,16358413,16358478,K562|chr1:16380407-16380492,chr1,16380407,16380492,1,21994,,
K562|chr1:16358418-16358478,chr1,16358418,16358478,K562|chr1:16380407-16380492,chr1,16380407,16380492,1,21989,,
K562|chr1:16358424-16358478,chr1,16358424,16358478,K562|chr1:16380407-16380508,chr1,16380407,16380508,1,21983,,
K562|chr1:16358429-16358478,chr1,16358429,16358478,K562|chr1:16380407-16380508,chr1,16380407,16380508,1,21978,,
K562|chr1:16358431-16358478,chr1,16358431,16358478,K562|chr1:16380407-16380506,chr1,16380407,16380506,1,21976,,
K562|chr1:16358434-16358478,chr1,16358434,16358478,K562|chr1:16380407-16380506,chr1,16380407,16380506,1,21973,,
K562|chr1:16386254-16386339,chr1,16386254,16386339,K562|chr1:16376519-16376566,chr1,16376519,16376566,1,9735,,
K562|chr1:16386254-16386338,chr1,16386254,16386338,K562|chr1:16376519-16376566,chr1,16376519,16376566,1,9735,,
K562|chr1:16386257-16386339,chr1,16386257,16386339,K562|chr1:16376411-16376516,chr1,16376411,16376516,1,9846,,
K562|chr1:16386257-16386338,chr1,16386257,16386338,K562|chr1:16376519-16376551,chr1,16376519,16376551,1,9738,,
K562|chr1:16386257-16386334,chr1,16386257,16386334,K562|chr1:16376494-16376516,chr1,16376494,16376516,1,9763,,
K562|chr1:16386257-16386333,chr1,16386257,16386333,K562|chr1:16376485-16376516,chr1,16376485,16376516,1,9772,,
K562|chr1:16386257-16386331,chr1,16386257,16386331,K562|chr1:16376436-16376516,chr1,16376436,16376516,1,9821,,
K562|chr1:16386257-16386330,chr1,16386257,16386330,K562|chr1:16376473-16376516,chr1,16376473,16376516,1,9784,,
K562|chr1:16386257-16386327,chr1,16386257,16386327,K562|chr1:16376470-16376516,chr1,16376470,16376516,1,9787,,
K562|chr1:16386257-16386326,chr1,16386257,16386326,K562|chr1:16376435-16376516,chr1,16376435,16376516,1,9822,,
K562|chr1:16386257-16386325,chr1,16386257,16386325,K562|chr1:16376435-16376516,chr1,16376435,16376516,1,9822,,
K562|chr1:16386257-16386323,chr1,16386257,16386323,K562|chr1:16376436-16376516,chr1,16376436,16376516,1,9821,,
K562|chr1:16386257-16386319,chr1,16386257,16386319,K562|chr1:16376408-16376516,chr1,16376408,16376516,1,9849,,
K562|chr1:16386257-16386313,chr1,16386257,16386313,K562|chr1:16376471-16376516,chr1,16376471,16376516,1,9786,,
K562|chr1:16386257-16386306,chr1,16386257,16386306,K562|chr1:16376435-16376516,chr1,16376435,16376516,1,9822,,
K562|chr1:16386257-16386304,chr1,16386257,16386304,K562|chr1:16376436-16376516,chr1,16376436,16376516,1,9821,,
K562|chr1:16386257-16386302,chr1,16386257,16386302,K562|chr1:16376411-16376516,chr1,16376411,16376516,1,9846,,
K562|chr1:16386265-16386339,chr1,16386265,16386339,K562|chr1:16376519-16376564,chr1,16376519,16376564,1,9746,,
K562|chr1:16386265-16386338,chr1,16386265,16386338,K562|chr1:16376518-16376659,chr1,16376518,16376659,1,9747,,
K562|chr1:16386265-16386334,chr1,16386265,16386334,K562|chr1:16376514-16376568,chr1,16376514,16376568,1,9751,,
K562|chr1:16386277-16386338,chr1,16386277,16386338,K562|chr1:16376518-16376607,chr1,16376518,16376607,1,9759,,
K562|chr1:16386279-16386339,chr1,16386279,16386339,K562|chr1:16376541-16376691,chr1,16376541,16376691,1,9738,,
K562|chr1:16386279-16386334,chr1,16386279,16386334,K562|chr1:16376559-16376592,chr1,16376559,16376592,1,9720,,
K562|chr1:16386280-16386334,chr1,16386280,16386334,K562|chr1:16376546-16376694,chr1,16376546,16376694,1,9734,,
K562|chr1:16386282-16386339,chr1,16386282,16386339,K562|chr1:16376519-16376564,chr1,16376519,16376564,1,9763,,
K562|chr1:16386282-16386338,chr1,16386282,16386338,K562|chr1:16376519-16376564,chr1,16376519,16376564,1,9763,,
K562|chr1:16386282-16386333,chr1,16386282,16386333,K562|chr1:16376518-16376604,chr1,16376518,16376604,1,9764,,
K562|chr1:16386284-16386339,chr1,16386284,16386339,K562|chr1:16376519-16376609,chr1,16376519,16376609,1,9765,,
K562|chr1:16386284-16386338,chr1,16386284,16386338,K562|chr1:16376518-16376574,chr1,16376518,16376574,1,9766,,
K562|chr1:16386285-16386339,chr1,16386285,16386339,K562|chr1:16376519-16376612,chr1,16376519,16376612,1,9766,,
K562|chr1:16386286-16386339,chr1,16386286,16386339,K562|chr1:16376519-16376612,chr1,16376519,16376612,1,9767,,
K562|chr1:16386290-16386339,chr1,16386290,16386339,K562|chr1:16376519-16376604,chr1,16376519,16376604,1,9771,,
K562|chr1:16386290-16386338,chr1,16386290,16386338,K562|chr1:16376519-16376604,chr1,16376519,16376604,1,9771,,
K562|chr1:16386293-16386338,chr1,16386293,16386338,K562|chr1:16376541-16376691,chr1,16376541,16376691,1,9752,,
K562|chr1:16386295-16386339,chr1,16386295,16386339,K562|chr1:16376519-16376615,chr1,16376519,16376615,1,9776,,
K562|chr1:16386295-16386338,chr1,16386295,16386338,K562|chr1:16376519-16376610,chr1,16376519,16376610,1,9776,,
K562|chr1:16386295-16386334,chr1,16386295,16386334,K562|chr1:16376635-16376785,chr1,16376635,16376785,1,9660,,
K562|chr1:16386300-16386339,chr1,16386300,16386339,K562|chr1:16376519-16376612,chr1,16376519,16376612,1,9781,,
K562|chr1:16386300-16386338,chr1,16386300,16386338,K562|chr1:16376519-16376612,chr1,16376519,16376612,1,9781,,
K562|chr1:16965958-16966073,chr1,16965958,16966073,K562|chr1:212607054-212607204,chr1,212607054,212607204,1,195641096,,
K562|chr1:17198173-17198266,chr1,17198173,17198266,K562|chr1:16862586-16862727,chr1,16862586,16862727,1,335587,,
K562|chr1:17198672-17198822,chr1,17198672,17198822,K562|chr1:16862207-16862357,chr1,16862207,16862357,1,336465,,
K562|chr1:17198672-17198815,chr1,17198672,17198815,K562|chr1:16862142-16862289,chr1,16862142,16862289,1,336530,,
K562|chr1:17200055-17200205,chr1,17200055,17200205,K562|chr1:16860705-16860851,chr1,16860705,16860851,1,339350,,
K562|chr1:17200284-17200380,chr1,17200284,17200380,K562|chr1:16862162-16862231,chr1,16862162,16862231,1,338122,,
K562|chr1:17200305-17200387,chr1,17200305,17200387,K562|chr1:16860672-16860822,chr1,16860672,16860822,1,339633,,
K562|chr1:17200309-17200411,chr1,17200309,17200411,K562|chr1:16862200-16862301,chr1,16862200,16862301,1,338109,,
K562|chr1:19757969-19758059,chr1,19757969,19758059,K562|chr1:28766634-28766783,chr1,28766634,28766783,1,9008665,,
K562|chr1:19758059-19758206,chr1,19758059,19758206,K562|chr1:28766639-28766786,chr1,28766639,28766786,1,9008580,,
K562|chr1:19758059-19758200,chr1,19758059,19758200,K562|chr1:28766639-28766786,chr1,28766639,28766786,1,9008580,,
K562|chr1:20494902-20494995,chr1,20494902,20494995,K562|chr1:20511912-20512003,chr1,20511912,20512003,1,17010,,
K562|chr1:20494902-20494957,chr1,20494902,20494957,K562|chr1:20511912-20512003,chr1,20511912,20512003,1,17010,,
K562|chr1:20522803-20522869,chr1,20522803,20522869,K562|chr1:20512959-20513097,chr1,20512959,20513097,1,9844,,
K562|chr1:20523256-20523335,chr1,20523256,20523335,K562|chr1:20513106-20513155,chr1,20513106,20513155,1,10150,,
K562|chr1:20530463-20530482,chr1,20530463,20530482,K562|chr1:20511988-20512119,chr1,20511988,20512119,1,18475,,
K562|chr1:20532383-20532419,chr1,20532383,20532419,K562|chr1:20513023-20513173,chr1,20513023,20513173,1,19360,,
K562|chr1:21907728-21907794,chr1,21907728,21907794,K562|chr1:21878432-21878516,chr1,21878432,21878516,1,29296,,
K562|chr1:21909028-21909103,chr1,21909028,21909103,K562|chr1:21878373-21878446,chr1,21878373,21878446,1,30655,,
K562|chr1:22241570-22241663,chr1,22241570,22241663,K562|chr1:160989581-160989725,chr1,160989581,160989725,1,138748011,,
K562|chr1:22289840-22289909,chr1,22289840,22289909,K562|chr1:150603798-150603948,chr1,150603798,150603948,1,128313958,,
K562|chr1:22289841-22289909,chr1,22289841,22289909,K562|chr1:150603905-150603950,chr1,150603905,150603950,1,128314064,,
K562|chr1:22289854-22289933,chr1,22289854,22289933,K562|chr1:150603889-150603986,chr1,150603889,150603986,1,128314035,,
K562|chr1:22289854-22289913,chr1,22289854,22289913,K562|chr1:150603892-150603945,chr1,150603892,150603945,1,128314038,,
K562|chr1:22289854-22289909,chr1,22289854,22289909,K562|chr1:150603808-150603950,chr1,150603808,150603950,1,128313954,,
K562|chr1:22289856-22289909,chr1,22289856,22289909,K562|chr1:150603904-150603950,chr1,150603904,150603950,1,128314048,,
K562|chr1:22364327-22364477,chr1,22364327,22364477,K562|chr1:22381213-22381294,chr1,22381213,22381294,1,16886,,
K562|chr1:22364429-22364498,chr1,22364429,22364498,K562|chr1:22381213-22381294,chr1,22381213,22381294,1,16784,,
K562|chr1:22367111-22367183,chr1,22367111,22367183,K562|chr1:22377998-22378122,chr1,22377998,22378122,1,10887,,
K562|chr1:24042076-24042108,chr1,24042076,24042108,K562|chr1:24071863-24071968,chr1,24071863,24071968,1,29787,,
K562|chr1:24042078-24042130,chr1,24042078,24042130,K562|chr1:24071863-24071968,chr1,24071863,24071968,1,29785,,
K562|chr1:24042805-24042918,chr1,24042805,24042918,K562|chr1:24071803-24071827,chr1,24071803,24071827,1,28998,,
K562|chr1:24045092-24045147,chr1,24045092,24045147,K562|chr1:24070663-24070813,chr1,24070663,24070813,1,25571,,
K562|chr1:24046091-24046172,chr1,24046091,24046172,K562|chr1:24066850-24066981,chr1,24066850,24066981,1,20759,,
K562|chr1:24046153-24046172,chr1,24046153,24046172,K562|chr1:24066850-24066981,chr1,24066850,24066981,1,20697,,
K562|chr1:24052004-24052111,chr1,24052004,24052111,K562|chr1:24068180-24068260,chr1,24068180,24068260,1,16176,,
K562|chr1:24052299-24052421,chr1,24052299,24052421,K562|chr1:24065169-24065319,chr1,24065169,24065319,1,12870,,
K562|chr1:24053449-24053517,chr1,24053449,24053517,K562|chr1:24069428-24069487,chr1,24069428,24069487,1,15979,,
K562|chr1:24055189-24055292,chr1,24055189,24055292,K562|chr1:24065698-24065841,chr1,24065698,24065841,1,10509,,
K562|chr1:24055549-24055630,chr1,24055549,24055630,K562|chr1:24068193-24068313,chr1,24068193,24068313,1,12644,,
K562|chr1:24055549-24055576,chr1,24055549,24055576,K562|chr1:24068193-24068313,chr1,24068193,24068313,1,12644,,
K562|chr1:24056038-24056102,chr1,24056038,24056102,K562|chr1:24065933-24065966,chr1,24065933,24065966,1,9895,,
K562|chr1:24056113-24056181,chr1,24056113,24056181,K562|chr1:24068583-24068665,chr1,24068583,24068665,1,12470,,
K562|chr1:24056119-24056268,chr1,24056119,24056268,K562|chr1:24068583-24068665,chr1,24068583,24068665,1,12464,,
K562|chr1:24056148-24056266,chr1,24056148,24056266,K562|chr1:24068437-24068468,chr1,24068437,24068468,1,12289,,
K562|chr1:24057496-24057643,chr1,24057496,24057643,K562|chr1:24067226-24067264,chr1,24067226,24067264,1,9730,,
K562|chr1:24057496-24057605,chr1,24057496,24057605,K562|chr1:24067226-24067264,chr1,24067226,24067264,1,9730,,
K562|chr1:24057578-24057599,chr1,24057578,24057599,K562|chr1:24066717-24066836,chr1,24066717,24066836,1,9139,,
K562|chr1:24058208-24058229,chr1,24058208,24058229,K562|chr1:24065725-24065861,chr1,24065725,24065861,1,7517,,
K562|chr1:24058305-24058455,chr1,24058305,24058455,K562|chr1:24065207-24065246,chr1,24065207,24065246,1,6902,,
K562|chr1:24058346-24058457,chr1,24058346,24058457,K562|chr1:24065207-24065246,chr1,24065207,24065246,1,6861,,
K562|chr1:24059702-24059772,chr1,24059702,24059772,K562|chr1:24066716-24066774,chr1,24066716,24066774,1,7014,,
K562|chr1:24060323-24060369,chr1,24060323,24060369,K562|chr1:24065424-24065536,chr1,24065424,24065536,1,5101,,
K562|chr1:24060331-24060369,chr1,24060331,24060369,K562|chr1:24065424-24065536,chr1,24065424,24065536,1,5093,,
K562|chr1:24060994-24061075,chr1,24060994,24061075,K562|chr1:24066485-24066578,chr1,24066485,24066578,1,5491,,
K562|chr1:24060994-24061051,chr1,24060994,24061051,K562|chr1:24066485-24066578,chr1,24066485,24066578,1,5491,,
K562|chr1:24061322-24061444,chr1,24061322,24061444,K562|chr1:24065391-24065436,chr1,24065391,24065436,1,4069,,
K562|chr1:24061339-24061444,chr1,24061339,24061444,K562|chr1:24065391-24065436,chr1,24065391,24065436,1,4052,,
K562|chr1:24061431-24061483,chr1,24061431,24061483,K562|chr1:24066715-24066820,chr1,24066715,24066820,1,5284,,
K562|chr1:24061438-24061483,chr1,24061438,24061483,K562|chr1:24066715-24066820,chr1,24066715,24066820,1,5277,,
K562|chr1:24061526-24061573,chr1,24061526,24061573,K562|chr1:24066353-24066431,chr1,24066353,24066431,1,4827,,
K562|chr1:25030809-25030897,chr1,25030809,25030897,K562|chr1:26433632-26433694,chr1,26433632,26433694,1,1402823,,
K562|chr1:25030809-25030896,chr1,25030809,25030896,K562|chr1:26433629-26433692,chr1,26433629,26433692,1,1402820,,
K562|chr1:25030815-25030896,chr1,25030815,25030896,K562|chr1:26433628-26433692,chr1,26433628,26433692,1,1402813,,
K562|chr1:25030815-25030883,chr1,25030815,25030883,K562|chr1:26433629-26433692,chr1,26433629,26433692,1,1402814,,
K562|chr1:25089535-25089641,chr1,25089535,25089641,K562|chr1:28838518-28838562,chr1,28838518,28838562,1,3748983,,
K562|chr1:25089547-25089691,chr1,25089547,25089691,K562|chr1:28838518-28838562,chr1,28838518,28838562,1,3748971,,
K562|chr1:25564243-25564301,chr1,25564243,25564301,K562|chr1:25559458-25559548,chr1,25559458,25559548,1,4785,,
K562|chr1:25564264-25564414,chr1,25564264,25564414,K562|chr1:25559458-25559548,chr1,25559458,25559548,1,4806,,
K562|chr1:25564303-25564356,chr1,25564303,25564356,K562|chr1:25563694-25563783,chr1,25563694,25563783,1,609,,
K562|chr1:25564306-25564333,chr1,25564306,25564333,K562|chr1:25563750-25563890,chr1,25563750,25563890,1,556,,
K562|chr1:25564355-25564465,chr1,25564355,25564465,K562|chr1:25561029-25561064,chr1,25561029,25561064,1,3326,,
K562|chr1:25564427-25564479,chr1,25564427,25564479,K562|chr1:25563499-25563649,chr1,25563499,25563649,1,928,,
K562|chr1:25564496-25564529,chr1,25564496,25564529,K562|chr1:25559796-25559946,chr1,25559796,25559946,1,4700,,
K562|chr1:25564542-25564622,chr1,25564542,25564622,K562|chr1:25563412-25563471,chr1,25563412,25563471,1,1130,,
K562|chr1:25564619-25564769,chr1,25564619,25564769,K562|chr1:25562557-25562636,chr1,25562557,25562636,1,2062,,
K562|chr1:25564619-25564690,chr1,25564619,25564690,K562|chr1:25562557-25562636,chr1,25562557,25562636,1,2062,,
K562|chr1:25564648-25564768,chr1,25564648,25564768,K562|chr1:25562239-25562385,chr1,25562239,25562385,1,2409,,
K562|chr1:25564660-25564713,chr1,25564660,25564713,K562|chr1:25562932-25562997,chr1,25562932,25562997,1,1728,,
K562|chr1:25564703-25564764,chr1,25564703,25564764,K562|chr1:25563408-25563514,chr1,25563408,25563514,1,1295,,
K562|chr1:25564718-25564778,chr1,25564718,25564778,K562|chr1:25562603-25562677,chr1,25562603,25562677,1,2115,,
K562|chr1:25564720-25564764,chr1,25564720,25564764,K562|chr1:25563408-25563514,chr1,25563408,25563514,1,1312,,
K562|chr1:25564721-25564746,chr1,25564721,25564746,K562|chr1:25561608-25561728,chr1,25561608,25561728,1,3113,,
K562|chr1:25564723-25564746,chr1,25564723,25564746,K562|chr1:25561608-25561728,chr1,25561608,25561728,1,3115,,
K562|chr1:25564800-25564850,chr1,25564800,25564850,K562|chr1:25563364-25563510,chr1,25563364,25563510,1,1436,,
K562|chr1:25564836-25564937,chr1,25564836,25564937,K562|chr1:25563755-25563776,chr1,25563755,25563776,1,1081,,
K562|chr1:25564836-25564936,chr1,25564836,25564936,K562|chr1:25563755-25563776,chr1,25563755,25563776,1,1081,,
K562|chr1:25564839-25564859,chr1,25564839,25564859,K562|chr1:25559570-25559695,chr1,25559570,25559695,1,5269,,
K562|chr1:25564859-25564982,chr1,25564859,25564982,K562|chr1:25560617-25560644,chr1,25560617,25560644,1,4242,,
K562|chr1:25564909-25564984,chr1,25564909,25564984,K562|chr1:25560619-25560691,chr1,25560619,25560691,1,4290,,
K562|chr1:25565075-25565200,chr1,25565075,25565200,K562|chr1:25562195-25562345,chr1,25562195,25562345,1,2880,,
K562|chr1:25565120-25565172,chr1,25565120,25565172,K562|chr1:25563521-25563662,chr1,25563521,25563662,1,1599,,
K562|chr1:25565419-25565454,chr1,25565419,25565454,K562|chr1:25562536-25562679,chr1,25562536,25562679,1,2883,,
